"q2","q3","q4","q6","q7","q7_7_text","q19","q12","q12_5_text","q13","q14","q14_12_text","q57","q15","q20","q16","q11","q11_9_text","q17","q40_1","q41","q42","q43","q121","q46_1","q47","q48","q49","q122","q51_1","q52","q53","q54","q123","q23_1","q24","q25","q26","q124","q34_1","q35","q36","q37","q125","q28_1","q29","q30","q31","q126","age","male","educ","married","white","race","preference","sexuality","straight","trans","religion","religiosity","ideo5","partyid","viewer_party","democrat_respondent","partisan_id","poli_interest","employment","employed","income","treatment","same_party"
1986,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Moderately important","Moderate","Democrat","Some of the time","Working full time now",NA,"$80,000 - $89,999",NA,NA,NA,NA,NA,95,"Definitely","Definitely","Definitely","Definitely not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,5,1,1,11,2,3,1,0,11,3,3,1,0,1,0,3,8,1,9,1,0
1990,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Liberal","Democrat","Only now and then","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,100,"Very probably","Very probably","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,5,0,1,11,2,3,1,0,10,3,4,1,0,1,0,2,8,1,6,1,0
1971,"Female","2-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Very conservative","Republican","Some of the time","Taking care of home or family",NA,"$100,000 - $119,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,"Probably","Probably","Probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,0,4,1,1,11,1,3,1,0,10,5,1,3,2,0,2,3,5,0,11,0,NA
1983,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$100,000 - $119,999",80,"Definitely","Definitely","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,5,1,1,11,2,3,1,0,1,1,4,1,0,1,0,4,8,1,11,0,NA
1987,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Independent","Only now and then","Unemployed",NA,"$10,000 - $19,999",NA,NA,NA,NA,NA,70,"Possibly","Possibly","Possibly","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,5,0,1,11,2,3,1,0,10,5,2,2,1,0,1,2,7,0,2,1,1
1994,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$30,000 - $39,999",82,"Probably not","Possibly","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,3,0,1,11,2,3,1,0,2,1,4,1,0,1,0,4,8,1,4,0,NA
1953,"Male","Some college, but no degree (yet)","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Moderately important","Liberal","Democrat","Most of the time","Working part time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"Definitely","Definitely","Probably not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1,3,1,1,11,2,3,1,0,11,3,4,1,0,1,0,4,9,0,6,2,1
1966,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Slightly important","Liberal","Democrat","Most of the time","Working full time now",NA,"$200,000 - $249,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"Very probably","Definitely","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1,6,1,1,11,2,3,1,0,10,2,4,1,0,1,0,4,8,1,14,2,1
1985,"Female","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working part time now",NA,"$100,000 - $119,999",100,"Definitely not","Definitely not","Definitely not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0,3,0,1,11,2,3,1,0,1,1,5,1,0,1,0,4,9,0,11,0,NA
1997,"Female","Some college, but no degree (yet)","Domestic/civil partnership","Black or African-American",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Some of the time","Working part time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,"Definitely","Very probably","Very probably","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,3,0,0,2,1,3,1,0,2,1,4,1,0,1,0,3,9,0,3,0,NA
1978,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Not at all important","Conservative","Republican","Some of the time","Working full time now",NA,"$120,000 - $149,999",NA,NA,NA,NA,NA,92,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,6,1,1,11,2,3,1,0,10,1,2,3,2,0,2,3,8,1,12,1,NA
1985,"Female","4-year college degree","Never married","Black or African-American",NA,"Men","Bisexual",NA,"Yes","Atheist",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$100,000 - $119,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,"Probably not","Probably not","Probably not","Probably not",33,0,5,0,0,2,1,1,0,1,2,1,5,1,0,1,0,4,8,1,11,2,1
1991,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Slightly important","Very conservative","Republican","Only now and then","Working full time now",NA,"$100,000 - $119,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,5,0,1,11,2,3,1,0,11,2,1,3,2,0,2,2,8,1,11,2,NA
1992,"Female","2-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Moderate","Democrat","Only now and then","Working full time now",NA,"$80,000 - $89,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,"Very probably","Possibly","Probably","Definitely",26,0,4,1,1,11,1,3,1,0,1,1,3,1,0,1,0,2,8,1,9,2,1
1982,"Male","High school graduate","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Conservative","Republican","Hardly at all","Working full time now",NA,"$30,000 - $39,999",41,"Probably not","Probably not","Possibly","Definitely not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,2,0,1,11,2,3,1,0,1,1,2,3,2,0,2,1,8,1,4,0,NA
1987,"Female","Some college, but no degree (yet)","Domestic/civil partnership","White,Black or African-American",NA,"Men","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Very important","Liberal","Democrat","Some of the time","Taking care of home or family",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Definitely not","Definitely not","Definitely not","Possibly",NA,NA,NA,NA,NA,31,0,3,0,0,13,1,3,1,0,9,4,4,1,0,1,0,3,5,0,3,1,0
1983,"Female","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","Asian or Asian-American",NA,"Men","Heterosexual/straight",NA,"No","Hindu",NA,"Slightly important","Moderate","Democrat","Most of the time","Working full time now",NA,"$120,000 - $149,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,"Very probably","Very probably","Probably","Probably",NA,NA,NA,NA,NA,35,0,6,1,0,1,1,3,1,0,5,2,3,1,0,1,0,4,8,1,12,1,0
1987,"Female","4-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Very liberal","Democrat","Some of the time","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,"Very probably","Very probably","Probably","Very probably",31,0,5,0,1,11,1,3,1,0,1,1,5,1,0,1,0,3,8,1,4,2,1
1960,"Female","High school graduate","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Slightly important","Moderate","Independent","Some of the time","Other","self-employed","$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,"Probably","Possibly","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0,2,1,1,11,1,3,1,0,11,2,3,2,1,0,1,3,1,0,5,0,NA
1974,"Female","Some college, but no degree (yet)","Married","Black or African-American",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Liberal","Democrat","Most of the time","Working full time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,0,3,1,0,2,1,3,1,0,10,5,4,1,0,1,0,4,8,1,8,0,NA
1974,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Conservative","Republican","Most of the time","Working part time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,"Very probably","Definitely","Very probably","Very probably",44,0,5,1,1,11,1,3,1,0,10,3,2,3,2,0,2,4,9,0,7,2,NA
1971,"Female","4-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Something else","other","Extremely important","Conservative","Republican","Most of the time","Working full time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"Probably","Probably","Possibly","Definitely",NA,NA,NA,NA,NA,47,0,5,0,1,11,1,3,1,0,12,5,2,3,2,0,2,4,8,1,8,1,NA
1985,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,88,"Possibly","Probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,5,0,1,11,2,3,1,0,2,1,5,1,0,1,0,4,8,1,4,1,0
1980,"Male","2-year college degree","Never married","Asian or Asian-American",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Conservative","Republican","Some of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"Definitely","Definitely","Very probably","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1,4,0,0,1,2,3,1,0,2,1,2,3,2,0,2,3,8,1,5,2,NA
1983,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Slightly important","Liberal","Democrat","Most of the time","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,5,0,1,11,2,3,1,0,10,2,4,1,0,1,0,4,8,1,4,2,1
1982,"Male","High school graduate","Domestic/civil partnership","White",NA,"Men","Gay man",NA,"No","Nothing in particular",NA,"Not at all important","Liberal","Democrat","Some of the time","Unemployed",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"Definitely","Possibly","Possibly","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,2,0,1,11,1,2,0,0,9,1,4,1,0,1,0,3,7,0,3,0,NA
1994,"Male","4-year college degree","Never married","Hispanic or Latino",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Moderately important","Liberal","Democrat","Most of the time","Unemployed",NA,"$90,000 - $99,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,"Definitely not","Definitely not","Definitely not","Definitely not",24,1,5,0,0,6,1,3,1,0,11,3,4,1,0,1,0,4,7,0,10,2,1
1969,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Slightly important","Very conservative","Republican","Most of the time","Working full time now",NA,"$120,000 - $149,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,"Probably","Probably","Very probably","Definitely",NA,NA,NA,NA,NA,49,0,5,1,1,11,1,3,1,0,10,2,1,3,2,0,2,4,8,1,12,1,NA
1988,"Female","High school graduate","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Independent","Hardly at all","Working part time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,"Possibly","Possibly","Probably not","Possibly",NA,NA,NA,NA,NA,30,0,2,1,1,11,1,3,1,0,2,1,4,2,1,0,1,1,9,0,7,1,1
1976,"Female","2-year college degree","Separated","Hispanic or Latino",NA,"Men","Heterosexual/straight",NA,"No","Something else","I am culturally Catholic (it means that I was raised in the faith but no longer practice or believe in its tenets, but believe in God and Saints).","Not at all important","Moderate","Independent","Some of the time","Working part time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,"Probably","Very probably","Possibly","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0,4,0,0,6,1,3,1,0,12,1,3,2,1,0,1,3,9,0,7,0,NA
1973,"Female","Some college, but no degree (yet)","Never married","Black or African-American",NA,"Men","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Not at all important","Liberal","Democrat","Some of the time","Working full time now",NA,"$10,000 - $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,"Probably not","Probably not","Probably not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,3,0,0,2,1,3,1,0,9,1,4,1,0,1,0,3,8,1,2,0,NA
1992,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Moderate","Democrat","Hardly at all","Working part time now",NA,"$10,000 - $19,999",96,"Very probably","Very probably","Very probably","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,5,0,1,11,2,3,1,0,2,1,3,1,0,1,0,1,9,0,2,0,NA
1983,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Most of the time","Taking care of home or family",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,"Possibly","Probably not","Definitely not","Probably not",NA,NA,NA,NA,NA,35,0,5,1,1,11,1,3,1,0,2,1,5,1,0,1,0,4,5,0,7,1,0
1989,"Male","4-year college degree","Never married","Asian or Asian-American",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Independent","Some of the time","Working full time now",NA,"$90,000 - $99,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,"Possibly","Probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,5,0,0,1,2,3,1,0,1,1,4,2,1,0,1,3,8,1,10,2,0
1984,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$50,000 - $59,999",85,"Definitely","Definitely","Definitely","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,5,0,1,11,2,3,1,0,1,1,5,1,0,1,0,4,8,1,6,0,NA
1947,"Female","High school graduate","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Very conservative","Republican","Some of the time","Retired",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Possibly","Possibly","Probably not","Probably not",71,0,2,1,1,11,1,3,1,0,10,5,1,3,2,0,2,3,3,0,3,2,NA
1979,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Independent","Most of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Definitely not","Definitely not","Definitely not","Definitely not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1,6,1,1,11,2,3,1,0,10,5,2,2,1,0,1,4,8,1,6,2,0
2000,"Male","Some college, but no degree (yet)","Never married","Asian or Asian-American",NA,"Women","Heterosexual/straight",NA,"No","Muslim",NA,"Extremely important","Moderate","Independent","Some of the time","Student",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,100,"Definitely not","Definitely not","Definitely not","Definitely not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,3,0,0,1,2,3,1,0,8,5,3,2,1,0,1,3,4,0,8,1,1
1981,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,"Possibly","Possibly","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1,5,0,1,11,2,3,1,0,2,1,4,1,0,1,0,4,8,1,6,2,1
1981,"Female","4-year college degree","Domestic/civil partnership","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"Very probably","Very probably","Probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0,5,0,1,11,1,3,1,0,2,1,5,1,0,1,0,4,8,1,3,0,NA
1981,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Liberal","Democrat","Most of the time","Taking care of home or family",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"Probably not","Probably not","Definitely not","Probably not",NA,NA,NA,NA,NA,37,0,3,1,1,11,1,3,1,0,10,3,4,1,0,1,0,4,5,0,3,1,0
1988,"Male","4-year college degree","Domestic/civil partnership","White",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Slightly important","Very conservative","Republican","Some of the time","Working full time now",NA,"$120,000 - $149,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,"Definitely not","Definitely not","Definitely not","Definitely not",30,1,5,0,1,11,1,3,1,0,11,2,1,3,2,0,2,3,8,1,12,2,NA
1994,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Only now and then","Working full time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,"Probably","Probably","Probably not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,5,0,1,11,2,3,1,0,2,1,4,1,0,1,0,2,8,1,8,2,1
1971,"Male","Some college, but no degree (yet)","Divorced","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Independent","Most of the time","Working full time now",NA,"$30,000 - $39,999",90,"Definitely","Definitely","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,3,0,1,11,2,3,1,0,2,1,4,2,1,0,1,4,8,1,4,0,NA
1975,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Moderately important","Liberal","Democrat","Some of the time","Working full time now",NA,"$100,000 - $119,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,3,1,1,11,1,3,1,0,11,3,4,1,0,1,0,3,8,1,11,0,NA
1984,"Male","4-year college degree","Domestic/civil partnership","Black or African-American",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Very liberal","Democrat","Some of the time","Working full time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,91,"Definitely","Definitely","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,5,0,0,2,2,3,1,0,10,3,5,1,0,1,0,3,8,1,8,1,0
1963,"Female","Some college, but no degree (yet)","Married","Black or African-American",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Democrat","Some of the time","Permanently disabled",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"Very probably","Very probably","Very probably","Definitely",55,0,3,1,0,2,1,3,1,0,10,5,2,1,0,1,0,3,2,0,4,2,1
1988,"Male","4-year college degree","Domestic/civil partnership","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$30,000 - $39,999",100,"Definitely","Definitely","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,5,0,1,11,2,3,1,0,1,1,4,1,0,1,0,4,8,1,4,0,NA
1989,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Extremely important","Conservative","Republican","Most of the time","Working full time now",NA,"$80,000 - $89,999",NA,NA,NA,NA,NA,100,"Definitely","Definitely","Definitely","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,5,0,1,11,2,3,1,0,11,5,2,3,2,0,2,4,8,1,9,1,NA
1985,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Moderate","Independent","Only now and then","Working full time now",NA,"$120,000 - $149,999",NA,NA,NA,NA,NA,80,"Probably","Probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,5,0,1,11,2,3,1,0,2,1,3,2,1,0,1,2,8,1,12,1,1
1992,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Not at all important","Very liberal","Democrat","Only now and then","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,"Very probably","Very probably","Probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,5,0,1,11,2,3,1,0,11,1,5,1,0,1,0,2,8,1,5,2,1
1974,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Very important","Conservative","Republican","Only now and then","Working part time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,"Definitely","Definitely","Probably not","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,0,3,1,1,11,1,3,1,0,9,4,2,3,2,0,2,2,9,0,3,0,NA
1983,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Not at all important","Moderate","Independent","Some of the time","Working full time now",NA,"$20,000 - $29,999",80,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,3,0,1,11,2,3,1,0,9,1,3,2,1,0,1,3,8,1,3,0,NA
1999,"Male","High school graduate","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Conservative","Republican","Some of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Probably not","Probably not","Probably not","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,2,0,1,11,2,3,1,0,1,1,2,3,2,0,2,3,8,1,6,2,NA
1994,"Male","2-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,85,"Definitely","Definitely","Probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,4,0,1,11,2,3,1,0,2,1,4,1,0,1,0,4,8,1,7,1,0
